Date ,Route Name,Route Name (English),Station Name,Station Name (English),Boarding Passengers,Leaving Passengers,Recorded Date,,,Route Name,Route Name (English),,Station Name,Station Name (English)
20251201,중앙선,Jungang Line,지평,Jipyeong,54,68,20251204,,,중앙선,Jungang Line,,지평,Jipyeong
20251201,1호선,Line 1,시청,City Hall,30091,29808,20251204,,,1호선,Line 1,,시청,City Hall
20251201,1호선,Line 1,종각,Jonggak,44436,43871,20251204,,,2호선,Line 2,,종각,Jonggak
20251201,1호선,Line 1,종로3가,Jongno 3(sam)-ga,25284,22690,20251204,,,3호선,Line 3,,종로3가,Jongno 3(sam)-ga
20251201,1호선,Line 1,종로5가,Jongno 5(o)-ga,25161,24791,20251204,,,4호선,Line 4,,종로5가,Jongno 5(o)-ga
20251201,1호선,Line 1,동대문,Dongdaemun,12483,12078,20251204,,,5호선,Line 5,,동대문,Dongdaemun
20251201,1호선,Line 1,신설동,Sinseol-dong,15409,15088,20251204,,,6호선,Line 6,,신설동,Sinseol-dong
20251201,1호선,Line 1,제기동,Jegi-dong,17329,17736,20251204,,,7호선,Line 7,,제기동,Jegi-dong
20251201,1호선,Line 1,청량리(서울시립대입구),Cheongnyangni (University of Seoul),24297,24439,20251204,,,경부선,Gyeongbu Line,,청량리(서울시립대입구),Cheongnyangni (University of Seoul)
20251201,1호선,Line 1,동묘앞,Dongmyo,9528,9604,20251204,,,8호선,Line 8,,동묘앞,Dongmyo
20251201,2호선,Line 2,시청,City Hall,31147,29254,20251204,,,9호선,Line 9,,을지로입구,Euljiro 1(il)-ga
20251201,2호선,Line 2,을지로입구,Euljiro 1(il)-ga,56300,57670,20251204,,,9호선2~3단계,Line 9 Phase 2-3,,을지로3가,Euljiro 3(sam)-ga
20251201,2호선,Line 2,을지로3가,Euljiro 3(sam)-ga,27859,27697,20251204,,,경강선,Gyeonggang Line,,을지로4가,Euljiro 4(sa)-ga
20251201,2호선,Line 2,을지로4가,Euljiro 4(sa)-ga,16514,15942,20251204,,,경원선,Gyeongwon Line,,동대문역사문화공원(DDP),Dongdaemun History & Culture Park (DDP)
20251201,2호선,Line 2,동대문역사문화공원(DDP),Dongdaemun History & Culture Park (DDP),15359,17819,20251204,,,경의선,Gyeongui Line,,신당,Sindang
20251201,2호선,Line 2,신당,Sindang,15798,15974,20251204,,,경인선,Line 1,,상왕십리,Sangwangsimni
20251201,2호선,Line 2,상왕십리,Sangwangsimni,15746,15727,20251204,,,경춘선,Gyeongchun Line,,왕십리(성동구청),Wangsimni (Seongdong-gu Office)
20251201,2호선,Line 2,왕십리(성동구청),Wangsimni (Seongdong-gu Office),17010,15218,20251204,,,공항철도 1호선,Airport Railroad (AREX),,한양대,Hanyang University
